"","pop","food"
"1",-1.1,1
"2",2.1,2
"3",3.1,4.2
"4",2.3,-0.6
"5",1.3,2.2
"6",-1.8,0.9
"7",1.1,0.7
"8",0.6,1
"9",1.2,1.4
"10",1.8,1.4
"11",2,1.7
"12",-0.3,-0.4
"13",-0.2,0.8
"14",2.9,2.8
"15",3.4,4
"16",0.5,0.4
"17",2.3,3
"18",-2.3,1.4
"19",2.6,2.2
"20",1.5,2.1
"21",2.7,3.5
"22",-1.1,-3.1
"23",2.8,3.4
"24",1.4,-0.3
"25",3,2.9
"26",2.7,2.7
"27",1,2.5
"28",2.3,2.2
"29",2.6,2.2
"30",3.1,4.1
"31",1.7,2.8
"32",1.1,3
"33",1.8,3.2
"34",2.9,2
"35",2.4,2.5
"36",2.5,2
"37",3.3,3
"38",0,2.3
"39",0.5,-1.6
"40",1.5,2.2
"41",-0.1,2.7
"42",1.4,-0.2
"43",3.6,-0.8
"44",0.4,1.1
"45",2.1,3.7
"46",0,-0.2
"47",1.8,2.2
"48",2,3.3
"49",1.9,2.7
"50",1.3,1.5
"51",1.2,2.5
"52",-1.6,2.6
"53",3,6
"54",1.2,2.2
"55",0.4,-0.1
"56",0.4,0.4
"57",1.9,3.6
"58",3,3.6
"59",3.8,1.9
"60",-1.6,9.5
"61",0.4,0.2
"62",2.8,5.9
"63",0.9,0.6
"64",0.8,0.2
"65",2.3,1.2
"66",3.7,3.9
"67",2.5,1.8
"68",0.2,2.4
"69",2,2.6
"70",2.5,3.4
"71",-0.1,-2
"72",1,0.9
"73",2,2.3
"74",1.5,2.9
"75",1.7,2.2
"76",0.6,0.5
"77",3.4,3.7
"78",0,-0.3
"79",0.8,2.3
"80",0.3,0.3
"81",5,4
"82",-1.3,-3.8
"83",3.1,3.7
"84",1.4,2.2
"85",6.7,11.7
"86",1.1,3.4
"87",2.6,2.9
"88",-1.4,-4.4
"89",3,3
"90",1.5,1.6
"91",-0.2,-0.7
"92",2,1.9
"93",-0.7,2.2
"94",3,2
"95",1.5,2.6
"96",2.6,4.3
"97",2.6,2.9
"98",1.9,2.2
"99",0.9,2.2
"100",2.7,3.6
"101",1.3,1.7
"102",1.8,1.9
"103",0.4,0.2
"104",1.6,1.8
"105",3.3,5.2
"106",1.4,3.4
"107",2.6,3
"108",2.4,2.7
"109",0.6,0.6
"110",-0.3,2
"111",2.4,1.9
"112",1.6,1.4
"113",2.3,4.4
"114",3.3,3.4
"115",2.5,4.4
"116",0.6,0.9
"117",2.4,3.6
"118",2,1.7
"119",2.4,4
"120",1.8,3.2
"121",2.2,3.2
"122",0.2,0.1
"123",0.2,0.7
"124",0.8,1.3
"125",-0.6,-4.9
"126",-0.5,0.1
"127",-0.1,-1.6
"128",-3.4,-4.5
"129",1.2,0
"130",1.2,2
"131",0,0.1
"132",0.9,0.7
"133",1.9,1.9
"134",2.3,2.9
"135",2.7,2.2
"136",0.7,2.8
"137",1.1,1.4
"138",-0.4,0.7
"139",0.2,0.4
"140",0.3,1.9
"141",2.8,4.6
"142",2.3,2.2
"143",0.3,0.1
"144",0.9,1.6
"145",2.6,4
"146",1.3,1.7
"147",2.2,0.6
"148",0.5,1.1
"149",0.8,0.5
"150",2.7,3.7
"151",1.4,-0.7
"152",1.1,2.7
"153",0.5,2.3
"154",1.9,2.5
"155",2.6,3.8
"156",0.7,0.4
"157",1.5,2.2
"158",1.7,1.2
"159",2,2.2
"160",3.2,2.5
"161",-0.6,-3.8
"162",5.4,5.2
"163",0.3,0.4
"164",3.1,1.3
"165",1.2,1.5
"166",0.7,1.3
"167",1.9,2.2
"168",2.6,3.1
"169",2.2,1.6
"170",1.8,3.8
"171",4.3,4.3
"172",2.8,2.4
"173",2,1.6
"174",0.2,0.2
"175",-1.5,-2.3
"176",-2.7,-4.2
"177",-2.3,-1.7
"178",-1.2,-1.1
"179",0.7,-0.4
"180",-1.2,-1
"181",-0.2,-1.2
"182",-0.8,-3.8
"183",-1.5,-2.6
"184",-1.9,-4.2
"185",0.4,0.2
"186",0.4,2
"187",-2.5,-3.4
"188",-3.1,-3.8
"189",-0.4,1.4
"190",-2.1,-2.6
"191",-2.3,-1.9
"192",-1.9,-1.5
"193",-1.5,-1.9
"194",-2.4,-2.8
"195",0.8,0.7
"196",-2.9,-2.9
"197",-1.2,-0.8
"198",-2.2,-4.4
"199",-2.4,-3.7
"200",-0.9,-2.3
"201",-1.8,-1.8
"202",-2.2,-2.9
"203",-3.4,-5
"204",-1.3,-2
"205",-0.8,-1.4
"206",-1.7,-2.2
"207",-2.6,-1.9
"208",-1.9,-5.5
"209",-2.4,-2.9
"210",-2.7,-2.8
"211",0.7,-0.3
"212",-0.3,-5.1
"213",-1.4,-1.2
"214",0.2,0.8
"215",-1,-0.6
"216",-2.5,-0.3
"217",-0.4,-0.5
"218",-3,-4.7
"219",0.2,-0.5
"220",-1.7,-2
"221",-1.4,-1.3
"222",-1.9,-2
"223",-0.6,-2.2
"224",-3.1,-2.4
"225",0.8,0.5
"226",-2.8,-4.9
"227",-0.8,-1.9
"228",-0.2,-0.9
"229",-0.4,-1
"230",-1.7,-2.8
"231",-2.4,-2.9
"232",-3.6,-3.9
"233",1.3,-0.3
"234",0,-0.8
"235",-2.5,-3.6
"236",-0.4,-1.2
"237",-0.1,0.7
"238",-2.3,-2.1
"239",-2.1,-2
"240",-2.3,-2.4
"241",0,-1.5
"242",-1.9,-3.2
"243",-2.2,-3
"244",0.2,-0.5
"245",-0.9,-1.5
"246",-1.8,-1.3
"247",-1.4,-0.7
"248",-1.4,-1.5
"249",-1.2,-1.6
"250",-2.3,-2.9
"251",-0.1,-1
"252",-0.8,-1.5
"253",-0.2,0.2
"254",-2.3,-2.6
"255",1,4.4
"256",-2.6,-2.6
"257",-1.8,-2.2
"258",-5.9,-5.6
"259",-1.5,-0.9
"260",-2.2,-3
"261",0.9,1.3
"262",-1.4,-1.8
"263",-1.7,-2.2
"264",-7,-6.4
"265",-2,-1.6
"266",0.7,-1.5
"267",-3,-2.7
"268",-3.2,-4.2
"269",-2.4,-1.6
"270",-1.7,-2.6
"271",-2,-3.5
"272",-0.6,-0.7
"273",-2.8,-3.3
"274",-1.1,-1.7
"275",-1.6,-2.3
"276",-1.1,-2.5
"277",-1.3,-1.7
"278",-2.7,-3
"279",-1.1,-2.3
"280",-2.2,-3.9
"281",-2.4,-2.8
"282",-0.5,-0.2
"283",0.9,0.2
"284",-2.1,-2.4
"285",-1,-0.7
"286",-1.7,-4.4
"287",-3.4,-5.1
"288",-2.4,-2.6
"289",-0.6,-1.3
"290",-3.8,-6
"291",-2.5,-1.9
"292",-2,-2.3
"293",-2.1,-2.5
"294",-1.6,-2.3
"295",-2,-2.5
"296",0.1,-0.5
"297",-0.4,-0.9
"298",-0.8,-0.8
"299",1.3,1
"300",0.5,-0.7
"301",0.3,-0.4
"302",-7.2,-9.9
"303",-1.3,-1.9
"304",-1.2,-1.2
"305",0,-2.1
"306",-0.8,-3
"307",-1.8,-3.7
"308",-2.7,-3.2
"309",-2.6,-2.7
"310",0.2,2.6
"311",-1.2,-1.8
"312",-1.8,-1.1
"313",-0.1,0.7
"314",-0.2,-0.7
"315",-2.8,-3.1
"316",-1.6,-2.2
"317",-0.7,-1
"318",-0.6,-1.6
"319",-2.4,-2.8
"320",-1.4,-0.9
"321",-1.9,-2.8
"322",-0.1,-0.3
