"","samplesizes","order_right","order_left"
"1",20,0.57,0.43
"2",30,0.62,0.38
"3",40,0.6,0.4
"4",50,0.65,0.35
"5",60,0.6,0.4
"6",70,0.61,0.39
"7",80,0.63,0.37
"8",100,0.75,0.25
"9",120,0.67,0.33
"10",140,0.67,0.33
"11",160,0.83,0.17
"12",180,0.77,0.23
"13",200,0.73,0.27
"14",250,0.84,0.16
"15",300,0.85,0.15
"16",350,0.81,0.19
"17",400,0.86,0.14
"18",450,0.89,0.11
"19",500,0.85,0.15
"20",550,0.89,0.11
"21",600,0.94,0.06
"22",650,0.95,0.05
"23",700,0.93,0.07
"24",750,0.92,0.08
"25",800,0.95,0.05
"26",850,0.93,0.07
"27",900,0.95,0.05
"28",950,0.96,0.04
"29",1000,0.96,0.04
"30",1050,0.99,0.01
"31",1100,0.96,0.04
"32",1150,0.95,0.05
"33",1200,0.98,0.02
"34",1250,0.94,0.06
"35",1300,0.98,0.02
"36",1350,0.98,0.02
"37",1400,0.95,0.05
"38",1450,0.99,0.01
"39",1500,0.99,0.01
"40",1550,0.99,0.01
"41",1600,0.99,0.01
"42",1650,0.97,0.03
"43",1699,0.97,0.03
