"","samplesizes","order_right","order_left"
"1",20,0.55,0.45
"2",30,0.42,0.58
"3",40,0.59,0.41
"4",50,0.48,0.52
"5",60,0.53,0.47
"6",70,0.54,0.46
"7",80,0.63,0.37
"8",100,0.63,0.37
"9",120,0.63,0.37
"10",140,0.63,0.37
"11",160,0.52,0.48
"12",180,0.68,0.32
"13",200,0.56,0.44
"14",250,0.62,0.38
"15",300,0.68,0.32
"16",350,0.79,0.21
"17",400,0.81,0.19
"18",450,0.8,0.2
"19",500,0.84,0.16
"20",550,0.88,0.12
"21",600,0.83,0.17
"22",650,0.79,0.21
"23",700,0.88,0.12
"24",750,0.86,0.14
"25",800,0.87,0.13
"26",850,0.93,0.07
"27",900,0.91,0.09
"28",950,0.91,0.09
"29",1000,0.96,0.04
"30",1050,0.89,0.11
"31",1100,0.95,0.05
"32",1150,0.95,0.05
"33",1200,0.94,0.06
"34",1250,0.95,0.05
"35",1300,0.98,0.02
"36",1350,0.98,0.02
"37",1400,0.96,0.04
"38",1450,0.96,0.04
"39",1500,0.99,0.01
"40",1550,1,0
"41",1600,0.96,0.04
"42",1650,0.97,0.03
"43",1699,0.98,0.02
