"","samplesizes","order_right","order_left"
"1",20,0.93,0.07
"2",30,0.98,0.02
"3",40,0.94,0.06
"4",50,0.98,0.02
"5",60,0.98,0.02
"6",70,0.99,0.01
"7",80,1,0
"8",100,1,0
"9",120,1,0
"10",140,1,0
"11",160,1,0
"12",180,1,0
"13",200,1,0
"14",250,1,0
"15",300,1,0
"16",350,1,0
"17",400,1,0
"18",450,1,0
"19",500,1,0
"20",550,1,0
"21",600,1,0
"22",650,1,0
"23",700,1,0
"24",750,1,0
"25",800,1,0
"26",850,1,0
"27",900,1,0
"28",950,1,0
"29",1000,1,0
"30",1050,1,0
"31",1100,1,0
"32",1150,1,0
"33",1200,1,0
"34",1250,1,0
"35",1300,1,0
"36",1350,1,0
"37",1400,1,0
"38",1450,1,0
"39",1500,1,0
"40",1550,1,0
"41",1600,1,0
"42",1650,1,0
"43",1699,1,0
